name,description,brand,category,price,rating,review_count,image_url,product_url,source_website,in_stock
Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,Essence,cosmetics,9.99,2.56,48,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,https://dummyjson.com/products/1,dummyjson.com,True
Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",Glamour Beauty,cosmetics,19.99,2.86,10,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,https://dummyjson.com/products/2,dummyjson.com,True
Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",Velvet Touch,cosmetics,14.99,4.64,38,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,https://dummyjson.com/products/3,dummyjson.com,True
Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",Chic Cosmetics,cosmetics,12.99,4.36,83,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,https://dummyjson.com/products/4,dummyjson.com,True
Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",Nail Couture,cosmetics,8.99,4.32,50,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,https://dummyjson.com/products/5,dummyjson.com,True
Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",Calvin Klein,cosmetics,49.99,4.37,41,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,https://dummyjson.com/products/6,dummyjson.com,True
Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",Chanel,cosmetics,129.99,4.26,48,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,https://dummyjson.com/products/7,dummyjson.com,True
Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",Dior,cosmetics,89.99,3.8,93,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp,https://dummyjson.com/products/8,dummyjson.com,True
Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",Dolce & Gabbana,cosmetics,69.99,3.96,15,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp,https://dummyjson.com/products/9,dummyjson.com,True
Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",Gucci,cosmetics,79.99,2.74,54,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp,https://dummyjson.com/products/10,dummyjson.com,True
